,name,value_dest
1195,titlePlayAlertApproachSchool,School Zone
1196,titlePrivacyStatement,Telenav Privacy Statement
1197,titleRangeReserveLevel,Range Reserve Level
1198,titleRemoveDestinationWaypoint,Remove Destination/Waypoint
1199,titleRerouteAvoidTraffic,Auto-Reroute to Avoid Traffic
1200,titleRollbackDialog,Rollback
1201,titleRouteAvoidanceCategory,Avoid on Route
1202,titleRouteOptions,Routes
1203,titleRouteStyleCategory,Route Type
1204,titleRouteStyleECO,Eco-Friendly
1205,titleRouteStyleFastest,Fastest
1206,titleRouteTypes,Route Types
1207,titleSelectLabel,Select Place Name
1208,titleSet2DHeadingUp,2D Heading Up
1209,titleSet2DNorthUp,2D North Up
1210,titleSet3DHeadingUp,3D Heading Up
1211,titleShowMyPlacesBubble,Show My Places on Map
1212,titleShowPOIsOnMap,Show on Map
1213,titleShowTerrain,Terrain
1214,titleSummary,Summary
1215,titleTermAndConditions,Telenav Terms and Conditions
1216,titleTrafficInformationScreen,Traffic Information
1217,titleTrafficOff,Traffic Off
1218,titleTrafficOn,Traffic On
1219,titleTrafficOnMapSetting,Traffic
1220,titleUpdateCompleteDialog,Map Successfully Updated
1221,titleUserPreferences,Map and Navigation Settings
1222,toMyPlace,To %1$s:
1223,toastAddressSaved,Address Saved
1224,toastAtLeastOneChargingNetwork,Select at Least One Charging Network
1225,toastBetterRouteAvailable,Better Route Available
1226,toastCalculatingRoutes,Calculating Routes
1227,toastChargerUpdated,One or more chargers updated due to previous change.
1228,toastContinueRecording,Continue Recording
1229,toastCountryTownEnter,Entering %1$s
1230,toastCountryTownExit,Exiting %1$s
1231,toastFeatureUnavailableWhileDriving,Feature Unavailable While Driving
1232,toastFindingChargers,Updating EV chargers for your trip…
1233,toastInvalidCharacter,Invalid Character
1234,toastLocationMaskingOff,Location Masking Off
1235,toastMessageAvoidFailed,Could not avoid %1$s
1236,toastMessageToFerry,Do you want to drive to a ferry nearby?
1237,toastMsgCouldNotAvoidSelectedSegment,Could Not Avoid Selected Segment
1238,toastMsgDestinationDeleted,Destination Deleted
1239,toastMsgDestinationReordered,Destination List Reordered
1240,toastMsgRecentAddressDeleted,Recent Address Deleted
1241,toastMyPlaceRemoved,%1$s Address Removed
1242,toastMyPlaceSaved,%1$s Address Saved
1243,toastNoChargeStationFound,No charging stations within driving range found
1244,toastNoDestination,You don\'t have any destinations yet.
1245,toastNoEVFound,No EV chargers found along route.
1246,toastNoEVFoundPart,No EV chargers found on part of the route.
1247,toastNoMatchesForAlongRoute,"No matches found for \""%1$s\"" along route. Search Nearby for more results."
1248,toastNoMatchesForNearBy,"No matches found for \""%1$s\"" nearby."
1249,toastNoMatchesForNearDestination,"No matches found for \""%1$s\"" near destination."
1250,toastPersonalizedNavOn,Personalized Navigation has been turned ON.
1251,toastRecordedRouteSaved,Recorded route saved. Find it in the Route Tracing screen.
1252,toastRenewMapPlanAdvisor,Renew your Map Update subscription by calling an Advisor.
1253,toastRenewMapPlanCollection,Renew your Map Update subscription in the Collection.
1254,toastRenewMapPlanShop,Renew your Map Update subscription in the Shop.
1255,toastRenewSubscription,Renew your Connected Navigation subscription in the Collection.
1256,toastRenewSubscriptionNotCadillac,Renew your Connected Navigation subscription in the Shop.
1257,toastRouteOptionsMax,Maximum Two Route Types
1258,toastRouteOptionsUncheck,Uncheck a selection and then check another
1259,toastSystemBusy,The system is busy. Please try again later.
1260,toastTooLongToAddCharger,Route too long to automatically add charging stops.
1261,toastTracingRouteToVar,Tracing to %1$s
1262,toastUnableToAddCharger,Unable to automatically add charging stops.
1263,toastWithdrawSuccess,Agreement Withdraw
1264,tollBoothItemLabel,Tollbooths
1265,tollFeeMonetaryUnit,dollars
1266,tollGateAlerts,Toll Gate Alerts
1267,tollRoadApproachingTollbooth,Approaching Tollbooth. Toll Cost: %1$s.
1268,tollRoadStartNavWithToll,Tollbooths on Route. Total Cost: %1$s.
1269,tollRoadTotalCost,Tolls: %1$s
1270,toolboothsOnRouteMessage,Tollbooths on Route
1271,totalDistance,Total Distance:
1272,totalDistanceLabel,Total Distance
1273,touristAttracionItemLabel,Tourist Attractions
1274,towingServiceItemLabel,Towing Services
1275,trafficAlertPreferencesAccident,Accident
1276,trafficAlertPreferencesCongestion,Congestion Alerts
1277,trafficAlertPreferencesConstruction,Construction
1278,trafficAlertPreferencesCountryTownEntry,Country Town Entry Alerts
1279,trafficAlertPreferencesIncident,Incident
1280,trafficCameraAlertPreferencesLaneRestrictionCamera,Lane Restriction Camera
1281,trafficCameraAlertPreferencesRedLightCamera,Red Light Camera
1282,trafficCameraAlertPreferencesSpeedCamera,Speed Camera
1283,trafficCameraAlertPreferencesTrafficCamera,Traffic Camera
1284,trafficCameraKR,%1$d avg
1285,trafficEventAlerts,Traffic Event Alerts
1286,trafficEventCrossStreetAt,At %1$s
1287,trafficEventCrossStreetFromAndTo,Between %1$s and %2$s
1288,trafficEventDetails,On %1$s %2$s
1289,trafficEventOption,Traffic Events
1290,trafficEventRoadDirectionBeginAndEnd,From %1$s to %2$s
1291,trafficEventRoadDirectionEnd,To %1$s
1292,trafficEventsAlongRoute,Along Route
1293,trafficEventsAvoidFailContent,No Better Routes Found
1294,trafficEventsAvoidFailTitle,Unable to Avoid Traffic
1295,trafficEventsAvoidTraffic,Avoid Traffic
1296,trafficEventsDelay,(plus)%1$s min
1297,trafficEventsDelayPrefix,Delay:
1298,trafficEventsFoot,%1$s ft
1299,trafficEventsKilometer,%1$s km
1300,trafficEventsMeter,%1$s m
1301,trafficEventsMile,%1$s mi
1302,trafficEventsNearby,Nearby
1303,trafficEventsNoNetworkConnection,No Network Connection
1304,trafficEventsNoTrafficAlongRoute,No Traffic Along Route
1305,trafficEventsOn1,On
1306,trafficEventsOn2,On
1307,trafficEventsSortHighwayFirst,Highway First
1308,trafficEventsSortStreetName,Street Name
1309,trafficEventsTrafficDetails,Traffic Details
1310,trafficEventsTrafficIncident,Traffic Incident
1311,trafficEventsTrafficIncidentPrefix,Traffic Incident
1312,trafficEventsTrafficSegmentAvoided,Traffic Segment Avoided
1313,trafficEventsTrafficSegmentRecovered,Traffic Segment Recovered
1314,trafficEventsTrafficSource,Traffic Source:
1315,trafficEventsUnavailableContent,Tether Info System to your phone to get Live Traffic.
1316,trafficEventsUnavailableTitle,Traffic Event Unavailable
1317,trafficEventsYard,%1$s yd
1318,trafficIncidentLabelDifficultDrivingCondition,Difficult Driving Condition
1319,trafficIncidentLabelMiscellaneous,Miscellaneous
1320,trafficIncidentLabelPolice,Police
1321,trafficIncidentLabelReducedVisibility,Reduced Visibility
1322,trafficIncidentLabelSmogAlerts,Smog Alerts
1323,trafficIncidentLabelSnowAndIce,Snow and Ice
1324,trafficIncidentLabelSpeedCamera,Speed Camera
1325,trafficIncidentLabelSpeedTrap,Speed Trap
1326,trafficIncidentLabelTrafficCamera,Traffic Camera
1327,trafficIncidentLabelTurnOnRadio,Turn on Radio
1328,trafficIncidentLabelUnknownType,Unknown Type
1329,trafficNearbyTitle,Traffic Nearby
1330,trafficPreferenceLabel,Traffic Preferences
1331,trafficPreferenceTitle,Traffic Preferences
1332,transitItemLabel,Transit
1333,transitScreenTitle,Transit
1334,travelTime,Travel Time:
1335,travelTimeLabel,Travel Time
1336,ui_nav1,Nav
1337,updateAutomatically,Automatically Update Next Time
1338,updateCompleteMessage,Your Local Map has been updated. Relaunch Navigation to use the latest map data.
1339,updateInBackgroundMessage,An update is running in the background. You will be notified when it is done.
1340,usualTitle,Usual
1341,vehicleMaintenanceItemLabel,Vehicle Maintenance
1342,vehicle_diesel,vehicle diesel
1343,veterinarianItemLabel,Veterinarians
1344,volumeControlNavVoicePromptLevel,Nav Voice Prompt Level
1345,volumeControlNavVoicePromptStandard,Standard
1346,volumeControlNavVoicePromptToneOnly,Tone Only
1347,volumeControlNavigationVolume,Navigation Volume
1348,volumeControlSettingEntry,Navigation Voice Control
1349,volumeControlSettingTitle,Navigation Voice Control
1350,volumeControlVoiceBeepOnly,Tone Only
1351,volumeControlVoiceFull,Full Prompt
1352,volumeControlVoiceGuidance,Nav Voice Prompt Level During Call
1353,volumeControlVoiceNone,None
1357,warn_rejectPermission,Navigation can only be enabled after this permission is granted.
1358,warning,Warning
1359,wayPointAdd,Add to Trip
1360,wayPointMakeNew,New Destination
1361,wayPointSummary,Total: %1$s
1362,whereCurrentLocation,Current Location
1363,whereMyLocation,My Location
1364,wherePrevious,Previous
1365,whereUpcoming,Upcoming
1366,yourNavServiceRenewed,Your Navigation Service has been renewed.
1367,yourSubscriptionRenewed,Your subscription has been renewed.
0,continue_permissions,Continue
1,gdprDialogGoToSettings,Go to Settings
2,gdprDialogMessage,You need to grant permissions to Navigation app in system settings.
3,gdprDialogTitle,Permission Required
4,grant_permission,"To grant access, tap Show Permission below."
5,oemCustomizedPoi1ItemLabel,Agoda
6,oemCustomizedPoi2ItemLabel,Wongnai
7,oemCustomizedPoi3ItemLabel,EV Chargers\n(MG&Partners)
8,dealershipItemLabel,MG Dealership
9,mainContent_requestPermissions,"For the use of Navigation, permissions to access your Storage, Location and Phone are required."
10,mix_panel_prod_token,9233f04270a06b8d1ddcce8d4bcb9b3f
11,mix_panel_stag_token,02d488318d37eca70cce9cf3c4eecb5e
12,navConnectorTypesEVAll,All Charging Networks
13,navNoNetworkConnectionTipEV,"Unstable network connection, please try it later."
14,navSystemSettingsGrantAccess,Please go to System Settings to grant access.
15,navWarningCallNotPossible,"Without the access to your Phone, Navigation cannot enable the “Call” feature."
16,onlySelectedChargingNetworks,Only Selected Charging Networks
17,speedLimit,Speed Limit
18,vrAlreadyInAvoidedRoute,You\'ve already avoided %1$s.
19,vrAlreadyInPreferenceRoute,You are already on the %1$s route.
20,warn_rejectContacts,"Without the access to your Contacts, Navigation cannot enable the “Drive to contact” feature."
