,name,value_dest
306,dialogCannotRecordExceed,Cannot record more than %1$d routes.
307,dialogCannotRecordMemoryCardIsFull,Nav SD Card full. Cannot record more routes at this time.
308,dialogCannotRecordUnknownIssues,Unknown issues. Cannot record more routes at this time.
309,dialogContentReminder,Predictive Navigation is On. You can always turn this Off at Settings.
310,dialogContinueRecordingRoute,Continue Recording?
311,dialogRecordedSince,Recorded since:\n%1$s at %2$s
312,dialogStopRecordingMemoryDiskIsFull,Nav SD Card Full
313,dialogStopRecordingUnknownIssues,Unknown issues.
314,dialogStoppedRecording,Recording Stopped
315,dialogTitleReminder,Reminder
316,dialogueStoppedRecording,Recording Stopped
317,disableDrivingRestrictionPopUpMessage,Turn off driving restrictions. For passenger use only.
318,disableDrivingRestrictionPopUpTitle,Enable Keyboard
319,disableGroupDrivingMessage,You will leave your team after disabling. This will be applied after Navigation restarts next time
320,distanceToStartOrEndPoint,%1$s to %2$s
321,downloadSizeVarDataRatesApply,The download size is approximately %1$sMB.\nData rates and/or overage fees may apply.
322,downloadingOnlineTraffic,Downloading Online Traffic
323,driveRange,Electric Range: Up to %1$s
324,driveRangeTitle,Electric Range:
325,driveToWayPoint,Drive to %1$s
326,drivingRestrictionAlertAgree,Agree
327,drivingRestrictionAlertCancel,Cancel
328,duplicateDestinationNextToStop,Duplicate Destination to Next Stop
329,dynamicDetailOldInfoStr,%1$s ahead %2$s delay on %3$s.
330,dynamicFastTimeStr,New route %1$s faster.
331,dynamicIncidentAutomaticContent,Rerouting to better route via %1$s.
332,dynamicIncidentForceContent,%1$s has been closed due to %2$s.
333,dynamicIncidentRegularContent,Better route via %1$s.
334,dynamicIncidentSaveTime,Save %1$s min
335,dynamicIncidentTitleStr,%1$s Ahead
336,dynamicRerouteDismissStr,Cancel
337,dynamicRerouteRerouteStr,Reroute
338,dynamicRerouteTipsStr,You will be notified if a better route is available.
339,dynamicSlowTimeStr,New route %1$s slower.
340,economyHotelItemLabel,Economy Hotels
341,editAddress,Edit Address
342,editFavoriteTitle,Edit Favorites
343,editRouteListTabRoute,Directions
344,editRouteListTabWayPoint,Destinations
345,emergencyCenterItemLabel,Emergency Centers/Rooms
346,emergencyItemLabel,Emergency
347,emergencyScreenTitle,Emergency
348,emergencyTrafficEventVars,%1$s in %2$s on %3$s (from %4$s to %5$s)
349,emergencyVarNoDirection,%1$s in %2$s on %3$s
350,emergencyVarsRouteViaVar,%1$s in %2$s on %3$s (from %4$s to %5$s)\nReroute via %6$s.
351,emergencyViaVarNoDirection,%1$s in %2$s on %3$s.\nReroute via %4$s
352,emergentTrafficVars,%1$s in %2$s on %3$s ( to %4$s)
353,enableSmartSearchLabel,Enable for Smart Search and Routing
354,enterAfterParkingInformation,Enter after %1$s
355,enterBeforeParkingInformation,Enter before %1$s
356,enterKeyword,Enter Keyword
357,entertainmentItemLabel,Entertainment
358,entertainmentScreenTitle,Entertainment
359,entityArrivalDistance,Distance
360,entityArrivalDuration,Duration
361,entityDetail24HourText,24 Hours
362,entityDetailChargeAvailableNo,Available %1$s
363,entityDetailChargingCost,Charging Cost
364,entityDetailDriveText,Go
365,entityDetailFavoriteText,Favorite
366,entityDetailHours,Hours
367,entityDetailMoreInfo,More Info
368,entityDetailNoRouteText,No Route Found
369,entityDetailOpenHourText,Hours: %1$s
370,entityDetailOpenStatusClosed,Closed
371,entityDetailOpenStatusClosingSoon,Closing Soon
372,entityDetailOpenStatusOpen,Open
373,entityDetailPakingRates,Parking Rates
374,entityDetailParkingSpots,Parking Spots Available
375,entityDetailPhoneText,Call
376,entityDetailPortsAvailable,Ports Available
377,entityDetailPortsAvailableNo,%1$s/%2$s available
378,entityDetailReportText,Report an Issue
379,entityDetailRouteOptionText,Routes
380,entityDetailTitle,Details
381,eteUnitDay,d
382,euSearchToolTip,"Place Name, Address, or Intersection"
383,evChargerStatusTotal,Total
384,evPowerNoValue,Pile
385,evPowerUnit,kW
386,evSearchAllFilters,Search All
387,ev_connector_type_30001,J1772
388,ev_connector_type_30002,SAE Combo
389,ev_connector_type_30003,CHAdeMO
390,ev_connector_type_30010,AC 7pin
391,ev_detail_payment,Payment
392,ev_feedtype_1,Normal Charge (≤6kW)
393,ev_feedtype_2,Semi-Fast Charge (>6kW≤15kW)
394,ev_feedtype_3,Fast Charge (>15kW≤50kW)
395,ev_feedtype_4,Super Fast Charge (>50kW)
396,evchargersItemLabel,EV Chargers
397,exitAfterParkingInformation,Exit after %1$s
398,exitBeforeParkingInformation,Exit before %1$s
399,fastFoodItemLabel,Fast Food
400,fastestTitle,Fastest
401,favoriteEditLabelTaken,Label already taken. Choose another.
402,favoriteRemoved,Favorite removed
403,favoriteSaved,Favorite saved
404,favoriteScreenTitle,Favorites
405,favoritesItemLabel,Favorites
406,featureNotCoveredInPlan,This feature is not available with your current %1$s Connected Navigation Plan.
407,featureUnavailable,Feature Unavailable
408,featureUnavailableContent,Turn on Location Services in the System Settings to use this feature.
409,featureUnavailableTitle,Feature Unavailable
410,featureUpdatePlan,Would you like to update your plan?
411,feedbackItem1,Permanently Closed
412,feedbackItem2,Address Incorrect
413,feedbackItem3,Phone Number Incorrect
414,feedbackItem4,Wrong Placement on Map
415,feedbackItem5,Incorrect Route Information
416,feedbackReportFinishedText,Feedback sent and will be considered for our next update.
417,feedbackSendButtonText,Send
418,feedbackTitleText,Report Location Issue
419,ferryTerminalItemLabel,Ferry Terminals
420,filteringBy,Filtering by:
